#filter: chr1_gap.type = 'centromere'
#bin  chrom	chromStart	chromEnd	ix	n	size	type	bridge
23	chr1	120093537	122333537	1253	N	2240000	centromere	no
2	chr2	91810927	94810927	756	N	3000000	centromere	no
2	chr3	90425755	93325755	771	N	2900000	centromere	no
1	chr4	49575659	52575659	430	N	3000000	centromere	no
14	chr5	46451142	49451142	451	N	3000000	centromere	no
16	chr6	58877002	61877002	646	N	3000000	centromere	no
1	chr7	57832528	60832528	556	N	3000000	centromere	no
14	chr8	43856263	46856263	370	N	3000000	centromere	no
14	chr9	44443361	47443361	395	N	3000000	centromere	no
1	chrX	57548803	60548803	559	N	3000000	centromere	no
10	chrY	9757849	12757849	96	N	3000000	centromere	no
13	chr10	39208941	41588941	341	N	2380000	centromere	no
15	chr11	51602318	54602318	441	N	3000000	centromere	no
13	chr12	34747961	36142961	301	N	1395000	centromere	no
10	chr13	14900000	16768000	2	N	1868000	centromere	no
1	chr14	15070000	18070000	2	N	3000000	centromere	no
1	chr15	15260000	18260000	2	N	3000000	centromere	no
13	chr16	36366889	38166889	362	N	1800000	centromere	no
1	chr17	22408570	25408570	186	N	3000000	centromere	no
10	chr18	15398887	16762885	121	N	1363998	centromere	no
12	chr19	26923622	29923622	408	N	3000000	centromere	no
12	chr20	26314569	29314569	273	N	3000000	centromere	no
10	chr21	10260000	13260000	6	N	3000000	centromere	no
10	chr22	11330000	14330000	2	N	3000000	centromere	no
